NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0002125,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3713756,568017,2025-01-01T00:09:59.113000,2025-01-01T00:10:56.947000,,2025-01-01T00:11:02.710000,NAT,Necessary Action Taken,N,7I14,075XX E Oak Ridge Ct,70128,7,POINT (-89.96483937 30.05483005)
A0002225,103M,MENTAL PATIENT,1,29ST,SUICIDE THREAT,2D,37369000,3513814,2025-01-01T00:10:15.793000,2025-01-01T02:49:13.833000,2025-01-01T02:54:58.617000,2025-01-01T06:49:23.470000,GOA,GONE ON ARRIVAL,N,5I06,020XX Tupelo St,70117,5,POINT (0 0)
A0002325,29,DEATH,1D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3704062,560024,2025-01-01T00:10:56.010000,2025-01-01T00:26:38.603000,2025-01-01T00:36:37.657000,2025-01-01T03:34:42.520000,RTF,REPORT TO FOLLOW,N,7O05,071XX Crowder Blvd,70126,7,POINT (-89.99577476 30.03316802)
A0002425,62A,"BURGLAR ALARM, SILENT",1,62A,"BURGLAR ALARM, SILENT",2C,3682418,541179,2025-01-01T00:12:53.913000,2025-01-01T01:40:04.180000,,2025-01-01T01:40:07.870000,NAT,Necessary Action Taken,N,5K02,024XX Allen St,70119,5,POINT (-90.06483197 29.98202941)
A0002525,94F,FIREWORKS,2J,94,DISCHARGING FIREARM,2C,3664671,536451,2025-01-01T00:13:15.160000,2025-01-01T00:18:58.897000,2025-01-01T00:35:37.730000,2025-01-01T00:36:13.853000,NAT,Necessary Action Taken,N,2S01,090XX Olive St,70118,2,POINT (-90.12104322 29.96955652)
A0002625,62A,"BURGLAR ALARM, SILENT",1A,62A,"BURGLAR ALARM, SILENT",2C,3669212,550407,2025-01-01T00:14:50.927000,2025-01-01T00:27:58.947000,2025-01-01T00:29:52.403000,2025-01-01T00:37:53.750000,NAT,Necessary Action Taken,N,3J01,064XX Vicksburg St,70124,3,POINT (-90.10623057 30.00779675)
A0002725,94F,FIREWORKS,2J,103,DISTURBANCE (OTHER),1C,3711768,564128,2025-01-01T00:14:52.553000,2025-01-01T00:16:16.597000,,2025-01-01T00:16:22.893000,NAT,Necessary Action Taken,N,7I07,110XX Guildford Rd,70127,7,POINT (-89.97127052 30.04420197)
A0002825,100,HIT & RUN,1,100,HIT & RUN,2D,3684826,538016,2025-01-01T00:15:35.493000,2025-01-01T01:55:26.317000,2025-01-01T01:56:05.020000,2025-01-01T02:57:31.583000,RTF,REPORT TO FOLLOW,N,5A04,Elysian Fields Av & N Claiborne Av,70117,5,POINT (-90.057338 29.97325792)
A0002925,103,DISTURBANCE (OTHER),1C,35,SIMPLE BATTERY,2E,3693213,543234,2025-01-01T00:16:17.257000,2025-01-01T02:56:09.673000,2025-01-01T03:07:20.283000,2025-01-01T06:07:27.183000,RTF,REPORT TO FOLLOW,N,5Q02,030XX Ursula Spencer Way,70126,5,POINT (-90.03066224 29.98734496)
A0003025,94F,FIREWORKS,1,103,DISTURBANCE (OTHER),2D,3696692,532078,2025-01-01T00:17:46.603000,,,2025-01-01T06:48:11.103000,GOA,GONE ON ARRIVAL,N,5.00E+01,054XX Chartres St,70117,5,POINT (-90.02007642 29.95656239)
A0003125,94F,FIREWORKS,2J,94,DISCHARGING FIREARM,2C,3663990,538086,2025-01-01T00:18:21.673000,2025-01-01T03:14:01.997000,2025-01-01T03:29:59.783000,2025-01-01T04:17:21.603000,GOA,GONE ON ARRIVAL,N,3A01,095XX Blk Palm St,70118,3,POINT (-90.12313931 29.97407244)
A0003225,22A,AREA CHECK,1K,RESCK,RESIDENCE CHECK,0,3663784,519577,2025-01-01T00:18:30.437000,,2025-01-01T00:18:30.437000,2025-01-01T01:04:53.430000,NAT,Necessary Action Taken,Y,2A03,Magazine St & Henry Clay Av,70118,2,POINT (-90.12440693 29.92318236)
A0003325,24,MEDICAL,2D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,37369000,3513814,2025-01-01T00:19:49.490000,2025-01-01T00:21:45.723000,2025-01-01T00:26:56.250000,2025-01-01T01:15:27.533000,NAT,Necessary Action Taken,N,2R01,038XX General Pershing St,70125,2,POINT (0 0)
A0003425,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3677750,526322,2025-01-01T00:20:12.490000,,2025-01-01T00:20:12.490000,2025-01-01T00:21:55.323000,NAT,Necessary Action Taken,Y,6H02,019XX Mlk Blvd,70113,6,POINT (-90.0800902 29.94131887)
A0003525,103,DISTURBANCE (OTHER),1C,103F,FIGHT,2D,3684638,533924,2025-01-01T00:21:22.440000,,2025-01-01T00:29:17.387000,2025-01-01T02:55:51.817000,NAT,Necessary Action Taken,N,8.00E+05,Esplanade Av & Decatur St,70116,8,POINT (-90.05807603 29.96201054)
A0003625,94F,FIREWORKS,1A,103,DISTURBANCE (OTHER),1C,3687514,546731,2025-01-01T00:21:29.330000,2025-01-01T01:48:41.500000,2025-01-01T01:54:10.463000,2025-01-01T02:01:50.447000,GOA,GONE ON ARRIVAL,N,3Y03,026XX Clover St,70122,3,POINT (-90.04853977 29.99713776)
A0003725,107,SUSPICIOUS PERSON,2C,94,DISCHARGING FIREARM,2C,3681821,532012,2025-01-01T00:21:53.370000,,2025-01-01T00:55:49.060000,2025-01-01T05:24:42.910000,NAT,Necessary Action Taken,N,8D05,004XX Bourbon St,70130,8,POINT (-90.06703826 29.95683961)
A0003825,20,AUTO ACCIDENT,1C,20,AUTO ACCIDENT,1C,3716856,555968,2025-01-01T00:22:06.730000,2025-01-01T00:27:49.783000,,2025-01-01T00:27:52.810000,GOA,GONE ON ARRIVAL,N,7J01,Approx Loc:Chef Menteur Hwy,70127,7,POINT (-89.9555 30.0216)
A0003925,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3706880,553120,2025-01-01T00:22:20.890000,2025-01-01T00:23:08.950000,,2025-01-01T00:23:21.317000,NAT,Necessary Action Taken,N,7F01,085XX Chef Menteur Hwy,70127,7,POINT (-89.98712722 30.01409479)
A0004025,94F,FIREWORKS,1,94,DISCHARGING FIREARM,2C,3668614,531529,2025-01-01T00:24:24.813000,,,2025-01-01T00:37:23.547000,NAT,Necessary Action Taken,N,2V01,043XX Blk State Street Dr,70125,2,POINT (-90.10875942 29.95590775)
A0004125,94F,FIREWORKS,2J,94,DISCHARGING FIREARM,2C,3686851,547552,2025-01-01T00:24:38.110000,2025-01-01T02:01:50.447000,2025-01-01T02:04:25.427000,2025-01-01T02:14:48.083000,GOA,GONE ON ARRIVAL,N,3Y03,025XX Gladiolus St,70122,3,POINT (-90.05060521 29.99941615)
A0004225,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3673918,533738,2025-01-01T00:24:58.437000,,2025-01-01T00:24:58.437000,2025-01-01T00:48:18.787000,RTF,REPORT TO FOLLOW,Y,1K01,027XX Tulane Av,70119,1,POINT (-90.09193488 29.96182464)
A0004325,103,DISTURBANCE (OTHER),1C,35D,SIMPLE BATTERY DOMESTIC,2C,3717019,569726,2025-01-01T00:25:09.370000,2025-01-01T01:40:36.293000,,2025-01-01T01:40:54.197000,RTF,REPORT TO FOLLOW,N,7K06,131XX St Stephen Dr,70128,7,POINT (-89.9544607 30.05942224)
A0004425,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3715764,557004,2025-01-01T00:25:30.523000,2025-01-01T00:27:40.223000,,2025-01-01T00:27:43.720000,NAT,Necessary Action Taken,N,7J03,047XX Bright Dr,70127,7,POINT (-89.95891253 30.02448406)
A0004525,52F,FIRE,1D,52F,FIRE,1D,3677369,525836,2025-01-01T00:27:13.327000,,2025-01-01T00:27:13.327000,2025-01-01T00:43:32.967000,NAT,Necessary Action Taken,Y,6H02,017XX Blk S Rampart St,70113,6,POINT (-90.08130822 29.93999349)
A0004625,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3677760,526357,2025-01-01T00:27:17.543000,,2025-01-01T00:27:17.543000,2025-01-01T02:31:55.113000,NAT,Necessary Action Taken,Y,6H02,019XX Martin Luther King Jr Blvd,70113,6,POINT (-90.08005527 29.94141218)
A0004725,62A,"BURGLAR ALARM, SILENT",2C,62A,"BURGLAR ALARM, SILENT",2C,3703059,510890,2025-01-01T00:28:19.977000,2025-01-01T00:52:35.853000,2025-01-01T01:02:18.723000,2025-01-01T02:10:18.793000,NAT,Necessary Action Taken,N,4D05,051XX Forest Park Ln,70131,4,POINT (-90.00075168 29.89809981)
A0004825,20,AUTO ACCIDENT,1C,20,AUTO ACCIDENT,1C,3666500,548289,2025-01-01T00:29:15.547000,,,2025-01-01T00:31:22.917000,DUP,DUPLICATE,N,3.00E+02,061XX Blk West End Blvd,70124,3,POINT (-90.11487132 30.00205414)
A0004925,20,AUTO ACCIDENT,1C,20,AUTO ACCIDENT,1C,3666513,548520,2025-01-01T00:30:00.143000,2025-01-01T00:31:27.767000,2025-01-01T00:36:46.197000,2025-01-01T03:11:12.633000,RTF,REPORT TO FOLLOW,N,3.00E+02,Ringold St & West End Blvd,70124,3,POINT (-90.11482128 30.00268783)
A0005025,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3705972,517435,2025-01-01T00:30:01.793000,2025-01-01T00:32:36.740000,2025-01-01T00:37:39.143000,2025-01-01T00:52:32.790000,GOA,GONE ON ARRIVAL,N,4.00E+03,Westchester St & Fairfax Pl,70131,4,POINT (-89.99131735 29.91600209)
A0005125,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3678623,535241,2025-01-01T00:30:56.223000,2025-01-01T00:31:32.257000,2025-01-01T00:34:16.997000,2025-01-01T00:39:11.813000,NAT,Necessary Action Taken,N,1I01,020XX Magic Walk,70112,1,POINT (-90.07702444 29.96581498)
A0005225,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3681812,532083,2025-01-01T00:32:39.593000,,2025-01-01T00:32:39.593000,2025-01-01T05:06:36.297000,NAT,Necessary Action Taken,Y,8D05,St Louis St & Bourbon St,70112,8,POINT (-90.06706413 29.95703552)
A0005325,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3681812,532083,2025-01-01T00:33:16.920000,,2025-01-01T00:33:16.920000,2025-01-01T00:34:45.280000,DUP,DUPLICATE,Y,8D05,St Louis St & Bourbon St,70112,8,POINT (-90.06706413 29.95703552)
A0005425,62A,"BURGLAR ALARM, SILENT",2C,62A,"BURGLAR ALARM, SILENT",2C,3700222,522351,2025-01-01T00:33:31.057000,2025-01-01T00:35:04.573000,,2025-01-01T00:45:02.483000,NAT,Necessary Action Taken,N,4D03,023XX Comet St,70131,4,POINT (-90.00928475 29.92970508)
A0005525,103F,FIGHT,2D,103F,FIGHT,2D,3681330,530859,2025-01-01T00:33:57.320000,,2025-01-01T00:33:57.320000,2025-01-01T01:35:20.703000,DUP,DUPLICATE,Y,8C01,001XX Blk Royal St,70130,8,POINT (-90.06862716 29.95368582)
A0005625,21,COMPLAINT OTHER,1J,63,PROWLER,2D,3682353,529922,2025-01-01T00:34:12.253000,2025-01-01T01:09:39.660000,2025-01-01T01:16:33.420000,2025-01-01T02:57:30.377000,NAT,Necessary Action Taken,N,8B01,003XX Canal St,70130,8,POINT (-90.06543211 29.95107834)
A0005725,64A,HOLD UP ALARM,2D,64A,HOLD UP ALARM,2D,3706546,561470,2025-01-01T00:34:42.217000,2025-01-01T00:36:32.787000,2025-01-01T00:40:50.427000,2025-01-01T00:53:56.680000,GOA,GONE ON ARRIVAL,N,7O10,071XX Bundy Rd,70127,7,POINT (-89.98787183 30.03706435)
A0005825,94F,FIREWORKS,1,103,DISTURBANCE (OTHER),2D,3668747,523248,2025-01-01T00:35:42.787000,,,2025-01-01T00:37:17.040000,NAT,Necessary Action Taken,N,2I02,021XX Robert St,70115,2,POINT (-90.108616 29.93313167)
A0005925,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3724703,564250,2025-01-01T00:35:54.170000,2025-01-01T00:36:19.150000,,2025-01-01T00:36:25.973000,NAT,Necessary Action Taken,N,7L02,054XX Michoud Blvd,70129,7,POINT (-89.93038453 30.04411011)
A0006025,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3672844,523674,2025-01-01T00:35:58.927000,2025-01-01T00:36:58.847000,2025-01-01T00:41:50.813000,2025-01-01T00:57:01.947000,GOA,GONE ON ARRIVAL,N,6Q02,S Liberty St & Delachaise St,70115,6,POINT (-90.09566766 29.93418352)
A0006125,94,DISCHARGING FIREARM,1A,37,AGGRAVATED ASSAULT,2C,3678329,547997,2025-01-01T00:37:45.740000,2025-01-01T04:17:21.603000,2025-01-01T04:47:52.923000,2025-01-01T05:49:28.630000,NAT,Necessary Action Taken,N,3M04,Mandolin St & Duplessis St,70122,3,POINT (-90.07751042 30.00089825)
A0006225,20,AUTO ACCIDENT,2,20,AUTO ACCIDENT,1C,3713660,563873,2025-01-01T00:37:52.490000,2025-01-01T00:39:58.647000,2025-01-01T00:51:42.417000,2025-01-01T02:59:56.387000,RTF,REPORT TO FOLLOW,N,7I05,Bullard Av Exit & I-10 E,70128,7,POINT (-89.96530138 30.04343968)
A0006325,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3681869,531481,2025-01-01T00:38:22.357000,,2025-01-01T00:38:22.357000,2025-01-01T02:58:34.390000,NAT,Necessary Action Taken,Y,8C02,003XX Royal St,70130,8,POINT (-90.06690499 29.95537994)
A0006425,52F,FIRE,1D,52F,FIRE,1D,3666796,555888,2025-01-01T00:38:38.253000,,2025-01-01T00:38:38.253000,2025-01-01T00:38:44.640000,NAT,Necessary Action Taken,Y,3G01,073XX Lakeshore Dr,70124,3,POINT (-90.11368046 30.02293917)
A0006525,107,SUSPICIOUS PERSON,1,107,SUSPICIOUS PERSON,2D,3684031,533213,2025-01-01T00:38:46.557000,2025-01-01T01:36:26.877000,,2025-01-01T01:36:31.143000,GOA,GONE ON ARRIVAL,N,8.00E+05,011XX Decatur St,70116,8,POINT (-90.06001781 29.96007639)
A0006625,103,DISTURBANCE (OTHER),1,103,DISTURBANCE (OTHER),1C,3689435,527887,2025-01-01T00:39:09.587000,2025-01-01T01:49:46.797000,2025-01-01T02:51:36.707000,2025-01-01T06:51:07.657000,GOA,GONE ON ARRIVAL,N,4G04,Thayer St & Newton St,70114,4,POINT (-90.04314207 29.94526558)
A0006725,103F,FIGHT,2D,103F,FIGHT,2D,3681213,530707,2025-01-01T00:39:38.097000,,2025-01-01T00:39:38.097000,2025-01-01T05:54:30.317000,RTF,REPORT TO FOLLOW,Y,8C01,Canal St & Royal St,None,8,POINT (-90.06900334 29.95327069)
A0006825,56D,CRIMINAL DAMAGE DOMESTIC,1,56,SIMPLE CRIMINAL DAMAGE,0,3687428,525706,2025-01-01T00:39:53.287000,2025-01-01T03:11:27.227000,2025-01-01T03:14:44.870000,2025-01-01T03:32:16.730000,RTF,REPORT TO FOLLOW,N,4A06,007XX Lawrence St,70114,4,POINT (-90.04955644 29.93933021)
A0006925,100,HIT & RUN,1,100,HIT & RUN,2D,3684045,533154,2025-01-01T00:40:14.707000,2025-01-01T01:37:05.167000,2025-01-01T01:37:20.803000,2025-01-01T07:11:47.350000,GOA,GONE ON ARRIVAL,N,8.00E+03,Ursulines Av & Decatur St,70116,8,POINT (-90.05997443 29.95991179)
A0007025,107,SUSPICIOUS PERSON,2D,107,SUSPICIOUS PERSON,2D,3716420,562046,2025-01-01T00:41:35.323000,2025-01-01T00:43:01.293000,,2025-01-01T00:43:10.997000,NAT,Necessary Action Taken,N,7I09,057XX Louis Prima Dr E,70128,7,POINT (-89.95664801 30.03832421)
A0007125,103,DISTURBANCE (OTHER),1C,35D,SIMPLE BATTERY DOMESTIC,2C,3704368,559101,2025-01-01T00:41:44.033000,2025-01-01T02:50:58.040000,2025-01-01T02:58:46.793000,2025-01-01T03:16:15.607000,GOA,GONE ON ARRIVAL,N,7O04,070XX Lawrence Rd,70126,7,POINT (-89.99484448 30.03061948)
A0007225,94,DISCHARGING FIREARM,1,37,AGGRAVATED ASSAULT,2C,3694423,522451,2025-01-01T00:42:47.270000,2025-01-01T00:45:29.847000,2025-01-01T00:47:32.040000,2025-01-01T01:50:03.677000,RTF,REPORT TO FOLLOW,N,4I02,021XX Blk Pace Blvd,70114,4,POINT (-90.02758841 29.93016224)
A0007325,94F,FIREWORKS,1A,103,DISTURBANCE (OTHER),1C,3691766,552197,2025-01-01T00:44:03.883000,2025-01-01T04:51:47.913000,2025-01-01T05:12:10.160000,2025-01-01T05:49:18.110000,NAT,Necessary Action Taken,N,3U03,049XX Gallier Dr,70126,3,POINT (-90.03491253 30.0120362)
A0007425,94F,FIREWORKS,2J,94,DISCHARGING FIREARM,2C,3665291,533108,2025-01-01T00:44:22.553000,,,2025-01-01T00:45:47.193000,NAT,Necessary Action Taken,N,2T01,Dante St & Apricot St,70118,2,POINT (-90.11919701 29.96034597)
A0007525,94F,FIREWORKS,1,103,DISTURBANCE (OTHER),2D,3679987,525163,2025-01-01T00:44:29.340000,,,2025-01-01T00:44:52.740000,NAT,Necessary Action Taken,N,6.00E+02,013XX Coliseum St,70130,6,POINT (-90.07306799 29.9380636)
A0007625,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3670032,525039,2025-01-01T00:45:31.033000,,2025-01-01T00:45:31.033000,2025-01-01T01:38:56.973000,NAT,Necessary Action Taken,Y,2N03,Clara St & Jena St,70115,2,POINT (-90.10449948 29.93801904)
A0007725,21,COMPLAINT OTHER,1J,21P,LOST PROPERTY,0G,3686017,537370,2025-01-01T00:45:45.970000,,2025-01-01T00:45:45.970000,2025-01-01T02:03:01.583000,RTF,REPORT TO FOLLOW,Y,5B03,013XX Spain St,70117,5,POINT (-90.0535981 29.9714444)
A0007825,21,COMPLAINT OTHER,1J,107,SUSPICIOUS PERSON,2C,3681489,531660,2025-01-01T00:47:27.047000,,2025-01-01T00:47:27.047000,2025-01-01T00:56:39.793000,NAT,Necessary Action Taken,Y,8D04,003XX Blk Bourbon St,70112,8,POINT (-90.0680996 29.95588122)
A0007925,35,SIMPLE BATTERY,1,35,SIMPLE BATTERY,2E,3682297,528892,2025-01-01T00:47:32.690000,,,2025-01-01T05:16:52.997000,GOA,GONE ON ARRIVAL,N,8A02,002XX Poydras St,70130,8,POINT (-90.06564361 29.94824622)
A0008025,107,SUSPICIOUS PERSON,2C,107,SUSPICIOUS PERSON,2C,3681429,531531,2025-01-01T00:47:44.240000,,,2025-01-01T00:48:10.430000,DUP,DUPLICATE,N,8D04,003XX Bourbon St,70130,8,POINT (-90.06829302 29.95553039)
A0008125,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3681920,532229,2025-01-01T00:48:04.533000,,2025-01-01T00:48:04.533000,2025-01-01T00:58:05.523000,NAT,Necessary Action Taken,Y,8D05,005XX Blk Bourbon St,70112,8,POINT (-90.06671644 29.95743311)
A0008225,103F,FIGHT,2D,103F,FIGHT,2D,3681330,530859,2025-01-01T00:49:50.420000,,2025-01-01T00:49:50.420000,2025-01-01T00:51:04.120000,DUP,DUPLICATE,Y,8C01,001XX Blk Royal St,70130,8,POINT (-90.06862716 29.95368582)
A0008325,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3682939,531689,2025-01-01T00:52:38.657000,,2025-01-01T00:52:38.657000,2025-01-01T03:00:07.253000,NAT,Necessary Action Taken,Y,8B02,Decatur St & Toulouse St,70130,8,POINT (-90.0635199 29.95591744)
A0008425,38,SIMPLE ASSAULT,1F,38,SIMPLE ASSAULT,1F,3683300,534639,2025-01-01T00:53:41.787000,,,2025-01-01T02:38:12.100000,GOA,GONE ON ARRIVAL,N,8.00E+02,Dauphine St & Barracks St,70116,8,POINT (-90.06227668 29.96401733)
A0008525,TS,TRAFFIC STOP,1,TS,TRAFFIC STOP,1,3677120,524969,2025-01-01T00:53:56.360000,,2025-01-01T00:53:56.360000,2025-01-01T01:32:09.827000,NAT,Necessary Action Taken,Y,6G01,Oretha Castle Haley Blvd & Josephine St,70113,6,POINT (-90.08212652 29.93761613)
A0008625,20,AUTO ACCIDENT,1,20,AUTO ACCIDENT,1C,3679553,529613,2025-01-01T00:54:12.963000,2025-01-01T03:05:04.703000,2025-01-01T05:20:40.533000,2025-01-01T06:45:03.027000,RTF,REPORT TO FOLLOW,N,8H02,Poydras St & O'Keefe Av,70113,8,POINT (-90.07428397 29.95031361)
A0008725,103,DISTURBANCE (OTHER),1C,21,COMPLAINT OTHER,1J,3680033,542305,2025-01-01T00:54:44.580000,,2025-01-01T00:54:44.580000,2025-01-01T05:36:21.713000,RTF,REPORT TO FOLLOW,Y,3X03,027XX Paris Av,70119,3,POINT (-90.07232727 29.98519622)
A0008825,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3696320,522691,2025-01-01T00:54:52.970000,,,2025-01-01T00:55:49.143000,NAT,Necessary Action Taken,N,4J01,035XX Vespasian Blvd,70114,4,POINT (-90.02159226 29.93076181)
